date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:45	269/269	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Aug%202021%2012:01:45%20GMT	http://ipci.in/robots.txt		(from )
17:31:46	10468/10468	---MCZ	200	added ('OK')	text/html	etag:W/%2228e4-56b85d5e2a72f%22	http://ipci.in/	C:/My%20Web%20Sites/IPCI/ipci.in/index.html	(from )
17:31:46	269/269	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Aug%202021%2012:01:46%20GMT	http://ipci.in/creativeimg/favicon.ico	C:/My%20Web%20Sites/IPCI/ipci.in/creativeimg/favicon.ico	(from http://ipci.in/)
17:31:46	11696/11696	---MCZ	200	added ('OK')	text/css	etag:W/%222db0-55f368655ed36%22	http://ipci.in/css/mainstyle.css	C:/My%20Web%20Sites/IPCI/ipci.in/css/mainstyle.css	(from http://ipci.in/)
17:31:47	12694/12694	---MCZ	200	added ('OK')	application/javascript	etag:W/%223196-55f368c4dfe56%22	http://ipci.in/js/custom.js	C:/My%20Web%20Sites/IPCI/ipci.in/js/custom.js	(from http://ipci.in/)
17:31:47	5506/5506	---MCZ	200	added ('OK')	text/css	etag:W/%221582-55f3689a816b1%22	http://ipci.in/engine1/style.css	C:/My%20Web%20Sites/IPCI/ipci.in/engine1/style.css	(from http://ipci.in/)
17:31:48	10436/10436	---MCZ	200	added ('OK')	text/html	etag:W/%2228c4-56b85e699038d%22	http://ipci.in/index-2.html	C:/My%20Web%20Sites/IPCI/ipci.in/index-2.html	(from http://ipci.in/)
17:31:49	9783/9783	---MCZ	200	added ('OK')	text/html	etag:W/%222637-560ebc5482429%22	http://ipci.in/about.html	C:/My%20Web%20Sites/IPCI/ipci.in/about.html	(from http://ipci.in/)
17:31:49	93636/93636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216dc4-55f3689a45d90%22	http://ipci.in/engine1/jquery.js	C:/My%20Web%20Sites/IPCI/ipci.in/engine1/jquery.js	(from http://ipci.in/)
17:31:50	9028/9028	---MCZ	200	added ('OK')	text/html	etag:W/%222344-57886315d7b9f%22	http://ipci.in/services.html	C:/My%20Web%20Sites/IPCI/ipci.in/services.html	(from http://ipci.in/)
17:31:50	6088/6088	---MCZ	200	added ('OK')	text/html	etag:W/%2217c8-56b85e472556b%22	http://ipci.in/contact.html	C:/My%20Web%20Sites/IPCI/ipci.in/contact.html	(from http://ipci.in/)
17:31:50	32487/32487	---M--	200	added ('OK')	image/jpeg	etag:%227ee7-578857a9c91da%22	http://ipci.in/images/logo5.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/images/logo5.jpg	(from http://ipci.in/)
17:32:00	69850/69850	---M--	200	added ('OK')	image/jpeg	etag:%22110da-560f10453867d%22	http://ipci.in/data1/images/slide3.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/data1/images/slide3.jpg	(from http://ipci.in/)
17:32:01	65276/65276	---M--	200	added ('OK')	image/jpeg	etag:%22fefc-55f3688285fd6%22	http://ipci.in/data1/images/slide2.jpg	C:/My%20Web%20Sites/IPCI/ipci.in/data1/images/slide2.jpg	(from http://ipci.in/)
17:32:03	15411/15411	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c33-55f3689a84591%22	http://ipci.in/engine1/wowslider.js	C:/My%20Web%20Sites/IPCI/ipci.in/engine1/wowslider.js	(from http://ipci.in/)
17:32:04	6428/6428	---MCZ	200	added ('OK')	application/javascript	etag:W/%22191c-55f3689ab52d2%22	http://ipci.in/engine1/script.js	C:/My%20Web%20Sites/IPCI/ipci.in/engine1/script.js	(from http://ipci.in/)
17:32:05	9940/9940	---MCZ	200	added ('OK')	text/html	etag:W/%2226d4-55f37b6a39f90%22	http://ipci.in/Household-pest-Control-1.html	C:/My%20Web%20Sites/IPCI/ipci.in/Household-pest-Control-1.html	(from http://ipci.in/)
17:32:06	10001/10001	---MCZ	200	added ('OK')	text/html	etag:W/%222711-55f3919d287d3%22	http://ipci.in/Commercial-pest-Control-2.html	C:/My%20Web%20Sites/IPCI/ipci.in/Commercial-pest-Control-2.html	(from http://ipci.in/)
17:32:07	2293/2293	---M--	200	added ('OK')	image/png	etag:%228f5-55f368ad62336%22	http://ipci.in/images/contactform.png	C:/My%20Web%20Sites/IPCI/ipci.in/images/contactform.png	(from http://ipci.in/)
